File,ML algorithm,accuracy,Precision,Recall,F1-score,Time
Heartbleed,Naive Bayes,0.9333333333333333,0.9,0.9545454545454546,0.9206349206349207,0.02273726463317871
Heartbleed,Naive Bayes,0.9333333333333333,0.9,0.9545454545454546,0.9206349206349207,0.024479150772094727
Heartbleed,Naive Bayes,0.9333333333333333,0.9,0.9545454545454546,0.9206349206349207,0.06068277359008789
Heartbleed,Naive Bayes,0.9333333333333333,0.9,0.9545454545454546,0.9206349206349207,0.041719913482666016
Heartbleed,Naive Bayes,0.9333333333333333,0.9,0.9545454545454546,0.9206349206349207,0.0263521671295166
Heartbleed,Naive Bayes,0.9333333333333333,0.9,0.9545454545454546,0.9206349206349207,0.028217315673828125
Heartbleed,Naive Bayes,0.9333333333333333,0.9,0.9545454545454546,0.9206349206349207,0.019417524337768555
Heartbleed,Naive Bayes,0.9333333333333333,0.9,0.9545454545454546,0.9206349206349207,0.01761913299560547
Heartbleed,Naive Bayes,0.9333333333333333,0.9,0.9545454545454546,0.9206349206349207,0.021323680877685547
Heartbleed,Naive Bayes,0.9333333333333333,0.9,0.9545454545454546,0.9206349206349207,0.01657867431640625
Heartbleed,Random Forest,1.0,1.0,1.0,1.0,0.047666311264038086
Heartbleed,Random Forest,1.0,1.0,1.0,1.0,0.05775189399719238
Heartbleed,Random Forest,1.0,1.0,1.0,1.0,0.04202413558959961
Heartbleed,Random Forest,1.0,1.0,1.0,1.0,0.08213663101196289
Heartbleed,Random Forest,1.0,1.0,1.0,1.0,0.06451845169067383
Heartbleed,Random Forest,1.0,1.0,1.0,1.0,0.09545183181762695
Heartbleed,Random Forest,1.0,1.0,1.0,1.0,0.1020355224609375
Heartbleed,Random Forest,1.0,1.0,1.0,1.0,0.06730389595031738
Heartbleed,Random Forest,1.0,1.0,1.0,1.0,0.09247541427612305
Heartbleed,Random Forest,1.0,1.0,1.0,1.0,0.07866954803466797
Heartbleed,SVM,1.0,1.0,1.0,1.0,0.02069687843322754
Heartbleed,SVM,1.0,1.0,1.0,1.0,0.02122807502746582
Heartbleed,SVM,1.0,1.0,1.0,1.0,0.022930383682250977
Heartbleed,SVM,1.0,1.0,1.0,1.0,0.020030736923217773
Heartbleed,SVM,1.0,1.0,1.0,1.0,0.01716136932373047
Heartbleed,SVM,1.0,1.0,1.0,1.0,0.023032426834106445
Heartbleed,SVM,1.0,1.0,1.0,1.0,0.017085552215576172
Heartbleed,SVM,1.0,1.0,1.0,1.0,0.0199737548828125
Heartbleed,SVM,1.0,1.0,1.0,1.0,0.01817631721496582
Heartbleed,SVM,1.0,1.0,1.0,1.0,0.02478313446044922
Heartbleed,Nearest Neighbors,1.0,1.0,1.0,1.0,0.034612178802490234
Heartbleed,Nearest Neighbors,1.0,1.0,1.0,1.0,0.023993968963623047
Heartbleed,Nearest Neighbors,1.0,1.0,1.0,1.0,0.023072004318237305
Heartbleed,Nearest Neighbors,1.0,1.0,1.0,1.0,0.02367711067199707
Heartbleed,Nearest Neighbors,1.0,1.0,1.0,1.0,0.026755094528198242
Heartbleed,Nearest Neighbors,1.0,1.0,1.0,1.0,0.022663593292236328
Heartbleed,Nearest Neighbors,1.0,1.0,1.0,1.0,0.047797441482543945
Heartbleed,Nearest Neighbors,1.0,1.0,1.0,1.0,0.02762007713317871
Heartbleed,Nearest Neighbors,1.0,1.0,1.0,1.0,0.02254962921142578
Heartbleed,Nearest Neighbors,1.0,1.0,1.0,1.0,0.02490830421447754
Infiltration,Naive Bayes,0.8958333333333334,0.890625,0.8795066413662238,0.8845598845598845,0.019814252853393555
Infiltration,Naive Bayes,0.8958333333333334,0.890625,0.8795066413662238,0.8845598845598845,0.019269227981567383
Infiltration,Naive Bayes,0.8958333333333334,0.890625,0.8795066413662238,0.8845598845598845,0.019930124282836914
Infiltration,Naive Bayes,0.8958333333333334,0.890625,0.8795066413662238,0.8845598845598845,0.01918792724609375
Infiltration,Naive Bayes,0.8958333333333334,0.890625,0.8795066413662238,0.8845598845598845,0.01811361312866211
Infiltration,Naive Bayes,0.8958333333333334,0.890625,0.8795066413662238,0.8845598845598845,0.019114255905151367
Infiltration,Naive Bayes,0.8958333333333334,0.890625,0.8795066413662238,0.8845598845598845,0.019163846969604492
Infiltration,Naive Bayes,0.8958333333333334,0.890625,0.8795066413662238,0.8845598845598845,0.023396968841552734
Infiltration,Naive Bayes,0.8958333333333334,0.890625,0.8795066413662238,0.8845598845598845,0.029140233993530273
Infiltration,Naive Bayes,0.8958333333333334,0.890625,0.8795066413662238,0.8845598845598845,0.0222320556640625
Infiltration,Random Forest,0.8958333333333334,0.890625,0.8795066413662238,0.8845598845598845,0.048142194747924805
Infiltration,Random Forest,0.875,0.8727272727272728,0.8500948766603416,0.859375,0.06581783294677734
Infiltration,Random Forest,0.875,0.8633776091081593,0.8633776091081593,0.8633776091081593,0.050670623779296875
Infiltration,Random Forest,0.8958333333333334,0.890625,0.8795066413662238,0.8845598845598845,0.06277942657470703
Infiltration,Random Forest,0.8958333333333334,0.890625,0.8795066413662238,0.8845598845598845,0.16576099395751953
Infiltration,Random Forest,0.9166666666666666,0.9212121212121211,0.8956356736242884,0.9062499999999999,0.11489200592041016
Infiltration,Random Forest,0.875,0.8633776091081593,0.8633776091081593,0.8633776091081593,0.26958346366882324
Infiltration,Random Forest,0.8958333333333334,0.890625,0.8795066413662238,0.8845598845598845,0.28362417221069336
Infiltration,Random Forest,0.8958333333333334,0.890625,0.8795066413662238,0.8845598845598845,0.11089539527893066
Infiltration,Random Forest,0.8333333333333334,0.8166969147005445,0.8311195445920303,0.8222222222222222,0.05733036994934082
Infiltration,SVM,0.6041666666666666,0.48809523809523814,0.49430740037950666,0.4568195354377606,0.06439495086669922
Infiltration,SVM,0.5416666666666666,0.4188034188034188,0.4459203036053131,0.4197802197802198,0.08007359504699707
Infiltration,SVM,0.5625,0.46578947368421053,0.47533206831119545,0.45893719806763283,0.07702946662902832
Infiltration,SVM,0.5625,0.48611111111111105,0.4886148007590133,0.48121461657231085,0.10860753059387207
Infiltration,SVM,0.5625,0.48611111111111105,0.4886148007590133,0.48121461657231085,0.049213409423828125
Infiltration,SVM,0.6041666666666666,0.48809523809523814,0.49430740037950666,0.4568195354377606,0.05030417442321777
Infiltration,SVM,0.5,0.4363636363636364,0.4402277039848197,0.4375,0.042415618896484375
Infiltration,SVM,0.4791666666666667,0.4535714285714285,0.4506641366223909,0.45029775538250105,0.07504129409790039
Infiltration,SVM,0.5625,0.3068181818181818,0.43548387096774194,0.36,0.05371975898742676
Infiltration,SVM,0.3958333333333333,0.6847826086956521,0.532258064516129,0.33044733044733043,0.049271345138549805
Infiltration,Nearest Neighbors,0.8333333333333334,0.8166969147005445,0.8311195445920303,0.8222222222222222,0.0661172866821289
Infiltration,Nearest Neighbors,0.8333333333333334,0.8166969147005445,0.8311195445920303,0.8222222222222222,0.07131433486938477
Infiltration,Nearest Neighbors,0.8333333333333334,0.8166969147005445,0.8311195445920303,0.8222222222222222,0.08171486854553223
Infiltration,Nearest Neighbors,0.8333333333333334,0.8166969147005445,0.8311195445920303,0.8222222222222222,0.11009597778320312
Infiltration,Nearest Neighbors,0.8333333333333334,0.8166969147005445,0.8311195445920303,0.8222222222222222,0.0913991928100586
Infiltration,Nearest Neighbors,0.8333333333333334,0.8166969147005445,0.8311195445920303,0.8222222222222222,0.06277179718017578
